Time,Amplitude
6.781548692023346e-06,5.0384720973937
6.892721621400778e-06,5.038360808010162
7.00389455077821e-06,5.0384940376633764
7.115067480155642e-06,5.0393012116698825
7.226240409533074e-06,5.040095299439939
7.3374133389105055e-06,5.039964842521558
7.448586268287938e-06,5.039786711713351
7.55975919766537e-06,5.039254031539572
7.670932127042801e-06,5.040730456350665
7.782105056420233e-06,5.0409605890277875
7.893277985797666e-06,5.04074374669521
8.004450915175097e-06,5.040476937391283
8.115623844552528e-06,5.040924040529934
8.226796773929961e-06,5.04043257400421
8.337969703307393e-06,5.0407594175123265
8.449142632684824e-06,5.040230864987108
8.560315562062257e-06,5.040924437478822
8.671488491439689e-06,5.040575034847582
8.78266142081712e-06,5.04044798629003
8.893834350194553e-06,5.0407199854962705
9.005007279571984e-06,5.040503505628827
9.116180208949416e-06,5.04065684699933
9.227353138326849e-06,5.040780250995853
9.33852606770428e-06,5.041054574948794
9.449698997081712e-06,5.040381060663989
9.560871926459145e-06,5.039505067376321
9.672044855836576e-06,5.039936830975547
9.783217785214007e-06,5.039220395081475
9.89439071459144e-06,5.039928465815158
1.0005563643968872e-05,5.039709750622332
1.0116736573346303e-05,5.038807582216241
1.0227909502723734e-05,5.038906168400653
1.0339082432101168e-05,5.038391876591727
1.0450255361478599e-05,5.039221293735714
1.056142829085603e-05,5.039677038744527
1.0672601220233463e-05,5.040191154002862
1.0783774149610895e-05,5.041002649324607
1.0894947078988326e-05,5.041156264035736
1.1006120008365759e-05,5.041862660228458
1.111729293774319e-05,5.0422622329935045
1.1228465867120622e-05,5.043230600590932
1.1339638796498055e-05,5.044014319625929
1.1450811725875486e-05,5.044183750179808
1.1561984655252918e-05,5.043967420110603
1.167315758463035e-05,5.044165144448051
1.1784330514007782e-05,5.044334462228808
1.1895503443385213e-05,5.044969608017164
1.2006676372762646e-05,5.0461394359934655
1.2117849302140078e-05,5.046308274415744
1.222902223151751e-05,5.046473207140183
1.2340195160894942e-05,5.046689523352634
1.2451368090272374e-05,5.047248777858117
1.2562541019649805e-05,5.047706507442061
1.2673713949027238e-05,5.047511674102871
1.278488687840467e-05,5.04762711112299
1.28960598077821e-05,5.048704828965806
1.3007232737159532e-05,5.048270080641229
1.3118405666536965e-05,5.047870202611604
1.3229578595914397e-05,5.0481555901119535
1.3340751525291828e-05,5.049101311233769
1.3451924454669261e-05,5.04949260538479
1.3563097384046692e-05,5.049761365460991
1.3674270313424124e-05,5.050880622127067
1.3785443242801557e-05,5.051101819092465
1.3896616172178988e-05,5.050387963897512
1.400778910155642e-05,5.050970818841619
1.4118962030933853e-05,5.051238934150904
1.4230134960311284e-05,5.0521305232501215
1.4341307889688715e-05,5.05255786435737
1.4452480819066148e-05,5.052817359724158
1.456365374844358e-05,5.0530183496253045
1.4674826677821011e-05,5.05309248217324
1.4785999607198444e-05,5.05411402595018
1.4897172536575875e-05,5.054149601677025
1.5008345465953307e-05,5.054116629753337
1.511951839533074e-05,5.05454814070354
1.5230691324708171e-05,5.054652171070759
1.5341864254085603e-05,5.056088570338711
1.5453037183463034e-05,5.055308181392913
1.5564210112840465e-05,5.054641001054424
1.56753830422179e-05,5.05459375448964
1.578655597159533e-05,5.054536586521535
1.5897728900972763e-05,5.054310906093072
1.6008901830350194e-05,5.054175620767273
1.6120074759727626e-05,5.053629374582378
1.6231247689105057e-05,5.053296253212524
1.634242061848249e-05,5.053481797367586
1.6453593547859923e-05,5.054238441228546
1.6564766477237354e-05,5.053839962514137
1.6675939406614786e-05,5.0543606082052674
1.6787112335992217e-05,5.054680853896428
1.689828526536965e-05,5.054492959178254
1.7009458194747083e-05,5.054534931728177
1.7120631124124515e-05,5.053972986885404
1.7231804053501946e-05,5.054229485409932
1.7342976982879377e-05,5.0545819054170895
1.745414991225681e-05,5.053858755314371
1.756532284163424e-05,5.054061213681034
1.767649577101167e-05,5.054423433196549
1.7787668700389106e-05,5.0545072484788705
1.7898841629766537e-05,5.053712572951419
1.801001455914397e-05,5.052941999118764
