FuncType;InfNum;Name;Prio
130;136;LOGIK: 02 extern gesetzt;1
130;137;LOGIK: 03 extern gesetzt;1
130;143;LOGIK: 04 extern gesetzt;1
130;152;LOGIK: 05 extern gesetzt;1
131;76;LOGIK: 06 extern gesetzt;1
131;78;LOGIK: 07 extern gesetzt;1
131;79;LOGIK: 08 extern gesetzt;1
133;164;GRUND: Stromfluß L2;1
132;37;f<>  : eingeschaltet;1
132;38;f<>  : bereit;1
132;39;f<>  : blockiert durch U<;1
132;44;f<>  : Anregung f1;1
132;48;f<>  : Anregung f1/df1;1
132;49;f<>  : Delta f1 angespr.;1
132;50;f<>  : Delta t1 abgelaufen;1
132;51;f<>  : Aus Meldung f1;1
132;52;f<>  : Anregung f2;1
132;53;f<>  : Anregung f2/df2;1
132;54;f<>  : Delta f2 angespr.;1
132;55;f<>  : Delta t2 abgelaufen;1
132;56;f<>  : Aus Meldung f2;1
132;57;f<>  : Anregung f3;1
132;64;f<>  : Anregung f3/df3;1
132;65;f<>  : Delta f3 angespr.;1
132;67;f<>  : Delta t3 abgelaufen;1
132;68;f<>  : Aus Meldung f3;1
132;69;f<>  : Anregung f4;1
132;70;f<>  : Anregung f4/df4;1
132;71;f<>  : Delta f4 angespr.;1
132;72;f<>  : Delta t4 abgelaufen;1
132;73;f<>  : Aus Meldung f4;1
132;74;f<>  : nicht bereit;1
132;4;P<>  : Anregung P>;1
132;5;P<>  : Meldung P> verzögert;1
132;6;P<>  : Aus Meldung P>;1
132;7;P<>  : Anregung P>>;1
132;8;P<>  : Meldung P>>verzögert;1
132;9;P<>  : Aus Meldung P>>;1
132;10;P<>  : Anregung Q>;1
132;11;P<>  : Meldung Q> verzögert;1
132;12;P<>  : Aus Meldung Q>;1
132;13;P<>  : Anregung Q>>;1
132;14;P<>  : Meldung Q>>verzögert;1
132;15;P<>  : Aus Meldung Q>>;1
132;16;P<>  : eingeschaltet;1
132;156;P<>  : Aus Meldung P<;1
132;157;P<>  : Aus Meld. P< Wischer;1
132;158;P<>  : Meld. P<< verzögert;1
132;159;P<>  : tP<< abgel. Wischer;1
130;20;DIST : Anregung I>> L1;1
130;21;DIST : Anregung I>> L2;1
131;21;DIST : Anregung I>> L3;1
130;23;DIST : Anregung U< L1;1
