LECROYMAUI,0,Waveform
Segments,1,SegmentSize,250002
Segment,TrigTime,TimeSinceSegment1
#1,14-May-2025 13:04:15,0                 
Time,Ampl
3.96856776e-05,-0.004
3.96936776e-05,-0.0044
3.97016776e-05,-0.0034
3.97096776e-05,-0.0044
3.97176776e-05,-0.004
3.97256776e-05,-0.0036
3.97336776e-05,-0.0034
3.97416776e-05,-0.0026
3.97496776e-05,-0.0042
3.97576776e-05,-0.0028
3.97656776e-05,-0.0046
3.97736776e-05,-0.0036
3.97816776e-05,-0.0036
3.97896776e-05,-0.0034
3.97976776e-05,-0.0034
3.98056776e-05,-0.0022
3.98136776e-05,-0.004
3.98216776e-05,-0.004
3.98296776e-05,-0.0042
3.98376776e-05,-0.0034
3.98456776e-05,-0.0046
3.98536776e-05,-0.0042
3.98616776e-05,-0.004
3.98696776e-05,-0.0046
3.98776776e-05,-0.005
3.98856776e-05,-0.0036
3.98936776e-05,-0.0042
3.99016776e-05,-0.004
3.99096776e-05,-0.0038
3.99176776e-05,-0.0044
3.99256776e-05,-0.0038
3.99336776e-05,-0.0028
3.99416776e-05,-0.005
3.99496776e-05,-0.005
3.99576776e-05,-0.004
3.99656776e-05,-0.004
3.99736776e-05,-0.0032
3.99816776e-05,-0.004
3.99896776e-05,-0.0036
3.99976776e-05,-0.0036
4.00056776e-05,-0.0046
4.00136776e-05,-0.0036
4.00216776e-05,-0.004
4.00296776e-05,-0.004
4.00376776e-05,-0.0032
4.00456776e-05,-0.001
4.00536776e-05,-0.0038
4.00616776e-05,-0.0038
4.00696776e-05,-0.004
4.00776776e-05,-0.0036
4.00856776e-05,-0.0036
4.00936776e-05,-0.0048
4.01016776e-05,-0.0026
4.01096776e-05,-0.0024
4.01176776e-05,-0.0024
4.01256776e-05,-0.003
4.01336776e-05,-0.0036
4.01416776e-05,-0.0036
4.01496776e-05,-0.0036
4.01576776e-05,-0.0042
4.01656776e-05,-0.004
4.01736776e-05,-0.0026
4.01816776e-05,-0.0042
4.01896776e-05,-0.003
4.01976776e-05,-0.003
4.02056776e-05,-0.0044
4.02136776e-05,-0.0022
4.02216776e-05,-0.002
4.02296776e-05,-0.0034
4.02376776e-05,-0.0036
4.02456776e-05,-0.0032
4.02536776e-05,-0.0046
4.02616776e-05,-0.0044
4.02696776e-05,-0.0046
4.02776776e-05,-0.0036
4.02856776e-05,-0.004
4.02936776e-05,-0.0024
4.03016776e-05,-0.0038
4.03096776e-05,-0.0034
4.03176776e-05,-0.0038
4.03256776e-05,-0.0042
4.03336776e-05,-0.0032
4.03416776e-05,-0.0038
4.03496776e-05,-0.0026
4.03576776e-05,-0.0028
4.03656776e-05,-0.0044
4.03736776e-05,-0.0038
4.03816776e-05,-0.005
4.03896776e-05,-0.0034
4.03976776e-05,-0.004
4.04056776e-05,-0.0024
4.04136776e-05,-0.0032
4.04216776e-05,-0.0032
4.04296776e-05,-0.0018
4.04376776e-05,-0.0036
4.04456776e-05,-0.0044
4.04536776e-05,-0.0042
4.04616776e-05,-0.0044
4.04696776e-05,-0.0042
4.04776776e-05,-0.0038
4.04856776e-05,-0.0046
4.04936776e-05,-0.0036
4.05016776e-05,-0.0034
4.05096776e-05,-0.0026
4.05176776e-05,-0.004
4.05256776e-05,-0.0046
4.05336776e-05,-0.0036
4.05416776e-05,-0.003
4.05496776e-05,-0.003
4.05576776e-05,-0.0038
4.05656776e-05,-0.0036
4.05736776e-05,-0.003
4.05816776e-05,-0.0044
4.05896776e-05,-0.0048
4.05976776e-05,-0.0044
4.06056776e-05,-0.003
4.06136776e-05,-0.0022
4.06216776e-05,-0.0036
4.06296776e-05,-0.004
4.06376776e-05,-0.0038
4.06456776e-05,-0.0026
4.06536776e-05,-0.004
4.06616776e-05,-0.003
4.06696776e-05,-0.0032
4.06776776e-05,-0.003
4.06856776e-05,-0.0034
4.06936776e-05,-0.0042
4.07016776e-05,-0.0046
4.07096776e-05,-0.0038
4.07176776e-05,-0.004
4.07256776e-05,-0.0036
4.07336776e-05,-0.0032
4.07416776e-05,-0.0034
4.07496776e-05,-0.0034
4.07576776e-05,-0.0044
4.07656776e-05,-0.004
4.07736776e-05,-0.0006
4.07816776e-05,-0.0018
4.07896776e-05,-0.0066
4.07976776e-05,-0.0044
4.08056776e-05,-0.0036
4.08136776e-05,-0.004
4.08216776e-05,-0.0036
4.08296776e-05,-0.0036
4.08376776e-05,-0.0032
4.08456776e-05,-0.0028
4.08536776e-05,-0.0036
4.08616776e-05,-0.0044
4.08696776e-05,-0.0034
4.08776776e-05,-0.0024
4.08856776e-05,-0.0034
4.08936776e-05,-0.0032
4.09016776e-05,-0.003
4.09096776e-05,-0.0044
4.09176776e-05,-0.0032
4.09256776e-05,-0.004
4.09336776e-05,-0.0042
4.09416776e-05,-0.002
4.09496776e-05,-0.0032
4.09576776e-05,-0.0022
4.09656776e-05,-0.0018
4.09736776e-05,-0.0044
4.09816776e-05,-0.0036
4.09896776e-05,-0.004
4.09976776e-05,-0.003
4.10056776e-05,-0.004
4.10136776e-05,-0.0036
4.10216776e-05,-0.0042
4.10296776e-05,0.0006
4.10376776e-05,-0.0032
4.10456776e-05,-0.0044
4.10536776e-05,-0.0038
4.10616776e-05,-0.0022
4.10696776e-05,-0.0028
4.10776776e-05,-0.004
4.10856776e-05,-0.0036
4.10936776e-05,-0.0046
4.11016776e-05,-0.0036
4.11096776e-05,-0.0036
4.11176776e-05,-0.0038
4.11256776e-05,-0.003
4.11336776e-05,-0.0034
4.11416776e-05,-0.004
4.11496776e-05,-0.0042
4.11576776e-05,-0.0034
4.11656776e-05,-0.0026
4.11736776e-05,-0.0034
4.11816776e-05,-0.0048
4.11896776e-05,-0.003
4.11976776e-05,-0.0052
4.12056776e-05,-0.0046
4.12136776e-05,-0.0028
4.12216776e-05,-0.0024
4.12296776e-05,-0.0028
4.12376776e-05,-0.0022
4.12456776e-05,-0.0038
4.12536776e-05,-0.0048
4.12616776e-05,-0.0046
4.12696776e-05,-0.0044
4.12776776e-05,-0.0026
4.12856776e-05,-0.0016
4.12936776e-05,-0.0028
4.13016776e-05,-0.0036
4.13096776e-05,-0.0042
4.13176776e-05,-0.0038
4.13256776e-05,-0.0046
4.13336776e-05,-0.0022
4.13416776e-05,-0.004
4.13496776e-05,-0.004
4.13576776e-05,-0.0036
4.13656776e-05,-0.004
4.13736776e-05,-0.0036
4.13816776e-05,-0.0054
4.13896776e-05,-0.0036
4.13976776e-05,-0.0048
4.14056776e-05,-0.004
4.14136776e-05,-0.0052
4.14216776e-05,-0.0056
